4.7810 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
40.4406 	EXP 	grating: autoDraw = False
40.4408 	EXP 	window1: recordFrameIntervals = False
41.4177 	EXP 	fixation: autoDraw = True
42.4239 	EXP 	fixation: autoDraw = False
42.4405 	EXP 	grating: autoDraw = True
42.4405 	EXP 	grating: tex = 'sin'
42.7405 	EXP 	grating: autoDraw = False
42.8269 	EXP 	window1: recordFrameIntervals = False
42.8283 	DATA 	Keypress: right
42.8405 	EXP 	fixation: autoDraw = False
42.8405 	EXP 	grating: autoDraw = False
42.8408 	EXP 	window1: recordFrameIntervals = False
43.8158 	EXP 	fixation: autoDraw = True
44.8237 	EXP 	fixation: autoDraw = False
44.8404 	EXP 	grating: autoDraw = True
44.8404 	EXP 	grating: tex = 'sin'
45.1404 	EXP 	grating: autoDraw = False
45.2930 	EXP 	window1: recordFrameIntervals = False
45.2946 	DATA 	Keypress: right
45.3070 	EXP 	fixation: autoDraw = False
45.3070 	EXP 	grating: autoDraw = False
45.3072 	EXP 	window1: recordFrameIntervals = False
46.2815 	EXP 	fixation: autoDraw = True
47.2903 	EXP 	fixation: autoDraw = False
47.3071 	EXP 	grating: autoDraw = True
47.3071 	EXP 	grating: tex = 'sin'
47.6069 	EXP 	grating: autoDraw = False
47.7261 	EXP 	window1: recordFrameIntervals = False
47.7274 	DATA 	Keypress: left
47.7402 	EXP 	fixation: autoDraw = False
47.7402 	EXP 	grating: autoDraw = False
47.7404 	EXP 	window1: recordFrameIntervals = False
48.7159 	EXP 	fixation: autoDraw = True
49.7235 	EXP 	fixation: autoDraw = False
49.7403 	EXP 	grating: autoDraw = True
49.7403 	EXP 	grating: tex = 'sin'
50.0404 	EXP 	grating: autoDraw = False
50.1426 	EXP 	window1: recordFrameIntervals = False
50.1441 	DATA 	Keypress: right
50.1568 	EXP 	fixation: autoDraw = False
50.1568 	EXP 	grating: autoDraw = False
50.1571 	EXP 	window1: recordFrameIntervals = False
51.1308 	EXP 	fixation: autoDraw = True
52.1400 	EXP 	fixation: autoDraw = False
52.1569 	EXP 	grating: autoDraw = True
52.1569 	EXP 	grating: tex = 'sin'
52.4567 	EXP 	grating: autoDraw = False
52.6094 	EXP 	window1: recordFrameIntervals = False
52.6109 	DATA 	Keypress: right
52.6233 	EXP 	fixation: autoDraw = False
52.6233 	EXP 	grating: autoDraw = False
52.6237 	EXP 	window1: recordFrameIntervals = False
53.5994 	EXP 	fixation: autoDraw = True
54.6066 	EXP 	fixation: autoDraw = False
54.6234 	EXP 	grating: autoDraw = True
54.6234 	EXP 	grating: tex = 'sin'
54.9232 	EXP 	grating: autoDraw = False
55.0927 	EXP 	window1: recordFrameIntervals = False
55.0943 	DATA 	Keypress: right
55.1065 	EXP 	fixation: autoDraw = False
55.1065 	EXP 	grating: autoDraw = False
55.1068 	EXP 	window1: recordFrameIntervals = False
56.0818 	EXP 	fixation: autoDraw = True
57.0896 	EXP 	fixation: autoDraw = False
57.1065 	EXP 	grating: autoDraw = True
57.1065 	EXP 	grating: tex = 'sin'
57.4066 	EXP 	grating: autoDraw = False
57.5258 	EXP 	window1: recordFrameIntervals = False
57.5273 	DATA 	Keypress: left
57.5399 	EXP 	fixation: autoDraw = False
57.5399 	EXP 	grating: autoDraw = False
57.5402 	EXP 	window1: recordFrameIntervals = False
58.5149 	EXP 	fixation: autoDraw = True
59.5231 	EXP 	fixation: autoDraw = False
59.5398 	EXP 	grating: autoDraw = True
59.5398 	EXP 	grating: tex = 'sin'
59.8397 	EXP 	grating: autoDraw = False
60.0089 	EXP 	window1: recordFrameIntervals = False
60.0104 	DATA 	Keypress: left
60.0245 	EXP 	fixation: autoDraw = False
60.0245 	EXP 	grating: autoDraw = False
60.0248 	EXP 	window1: recordFrameIntervals = False
60.9988 	EXP 	fixation: autoDraw = True
62.0062 	EXP 	fixation: autoDraw = False
62.0231 	EXP 	grating: autoDraw = True
62.0231 	EXP 	grating: tex = 'sin'
62.3228 	EXP 	grating: autoDraw = False
62.6260 	EXP 	window1: recordFrameIntervals = False
62.6274 	DATA 	Keypress: right
62.6396 	EXP 	fixation: autoDraw = False
62.6396 	EXP 	grating: autoDraw = False
62.6399 	EXP 	window1: recordFrameIntervals = False
63.6155 	EXP 	fixation: autoDraw = True
64.6228 	EXP 	fixation: autoDraw = False
64.6395 	EXP 	grating: autoDraw = True
64.6395 	EXP 	grating: tex = 'sin'
64.9395 	EXP 	grating: autoDraw = False
64.9427 	EXP 	window1: recordFrameIntervals = False
64.9441 	DATA 	Keypress: left
64.9561 	EXP 	fixation: autoDraw = False
64.9561 	EXP 	grating: autoDraw = False
64.9563 	EXP 	window1: recordFrameIntervals = False
65.9312 	EXP 	fixation: autoDraw = True
66.9394 	EXP 	fixation: autoDraw = False
66.9562 	EXP 	grating: autoDraw = True
66.9562 	EXP 	grating: tex = 'sin'
67.2422 	EXP 	window1: recordFrameIntervals = False
67.2432 	DATA 	Keypress: left
67.2560 	EXP 	grating: autoDraw = False
67.2560 	EXP 	fixation: autoDraw = False
67.2560 	EXP 	grating: autoDraw = False
67.2563 	EXP 	window1: recordFrameIntervals = False
68.2313 	EXP 	fixation: autoDraw = True
69.2392 	EXP 	fixation: autoDraw = False
69.2560 	EXP 	grating: autoDraw = True
69.2560 	EXP 	grating: tex = 'sin'
69.5559 	EXP 	grating: autoDraw = False
69.8084 	EXP 	window1: recordFrameIntervals = False
69.8100 	DATA 	Keypress: left
69.8225 	EXP 	fixation: autoDraw = False
69.8225 	EXP 	grating: autoDraw = False
69.8228 	EXP 	window1: recordFrameIntervals = False
70.7975 	EXP 	fixation: autoDraw = True
71.8059 	EXP 	fixation: autoDraw = False
71.8226 	EXP 	grating: autoDraw = True
71.8226 	EXP 	grating: tex = 'sin'
72.1224 	EXP 	grating: autoDraw = False
72.2253 	EXP 	window1: recordFrameIntervals = False
72.2271 	DATA 	Keypress: left
72.2390 	EXP 	fixation: autoDraw = False
72.2390 	EXP 	grating: autoDraw = False
72.2393 	EXP 	window1: recordFrameIntervals = False
73.2146 	EXP 	fixation: autoDraw = True
