4.7810 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
155.0021 	EXP 	grating: tex = 'sin'
155.3021 	EXP 	grating: autoDraw = False
155.4211 	EXP 	window1: recordFrameIntervals = False
155.4225 	DATA 	Keypress: right
155.4353 	EXP 	fixation: autoDraw = False
155.4353 	EXP 	grating: autoDraw = False
155.4356 	EXP 	window1: recordFrameIntervals = False
156.4097 	EXP 	fixation: autoDraw = True
157.4210 	EXP 	fixation: autoDraw = False
157.4355 	EXP 	grating: autoDraw = True
157.4355 	EXP 	grating: tex = 'sin'
157.7352 	EXP 	grating: autoDraw = False
157.8716 	EXP 	window1: recordFrameIntervals = False
157.8730 	DATA 	Keypress: left
157.8852 	EXP 	fixation: autoDraw = False
157.8852 	EXP 	grating: autoDraw = False
157.8855 	EXP 	window1: recordFrameIntervals = False
158.8611 	EXP 	fixation: autoDraw = True
159.8685 	EXP 	fixation: autoDraw = False
159.8853 	EXP 	grating: autoDraw = True
159.8853 	EXP 	grating: tex = 'sin'
160.1852 	EXP 	grating: autoDraw = False
160.2208 	EXP 	window1: recordFrameIntervals = False
160.2225 	DATA 	Keypress: right
160.2351 	EXP 	fixation: autoDraw = False
160.2351 	EXP 	grating: autoDraw = False
160.2354 	EXP 	window1: recordFrameIntervals = False
161.2096 	EXP 	fixation: autoDraw = True
162.2183 	EXP 	fixation: autoDraw = False
162.2352 	EXP 	grating: autoDraw = True
162.2352 	EXP 	grating: tex = 'sin'
162.5350 	EXP 	grating: autoDraw = False
162.7551 	EXP 	window1: recordFrameIntervals = False
162.7566 	DATA 	Keypress: right
162.7683 	EXP 	fixation: autoDraw = False
162.7683 	EXP 	grating: autoDraw = False
162.7686 	EXP 	window1: recordFrameIntervals = False
163.7440 	EXP 	fixation: autoDraw = True
164.7515 	EXP 	fixation: autoDraw = False
164.7684 	EXP 	grating: autoDraw = True
164.7684 	EXP 	grating: tex = 'sin'
165.0682 	EXP 	grating: autoDraw = False
165.2039 	EXP 	window1: recordFrameIntervals = False
165.2052 	DATA 	Keypress: right
165.2182 	EXP 	fixation: autoDraw = False
165.2182 	EXP 	grating: autoDraw = False
165.2184 	EXP 	window1: recordFrameIntervals = False
166.1920 	EXP 	fixation: autoDraw = True
167.2014 	EXP 	fixation: autoDraw = False
167.2182 	EXP 	grating: autoDraw = True
167.2182 	EXP 	grating: tex = 'sin'
167.5181 	EXP 	grating: autoDraw = False
167.6043 	EXP 	window1: recordFrameIntervals = False
167.6059 	DATA 	Keypress: left
167.6180 	EXP 	fixation: autoDraw = False
167.6180 	EXP 	grating: autoDraw = False
167.6183 	EXP 	window1: recordFrameIntervals = False
168.5944 	EXP 	fixation: autoDraw = True
169.6013 	EXP 	fixation: autoDraw = False
169.6182 	EXP 	grating: autoDraw = True
169.6182 	EXP 	grating: tex = 'sin'
169.9180 	EXP 	grating: autoDraw = False
170.1066 	EXP 	window1: recordFrameIntervals = False
170.1079 	DATA 	Keypress: left
170.1180 	EXP 	fixation: autoDraw = False
170.1180 	EXP 	grating: autoDraw = False
170.1183 	EXP 	window1: recordFrameIntervals = False
171.0960 	EXP 	fixation: autoDraw = True
172.1012 	EXP 	fixation: autoDraw = False
172.1180 	EXP 	grating: autoDraw = True
172.1180 	EXP 	grating: tex = 'sin'
172.4178 	EXP 	grating: autoDraw = False
172.5196 	EXP 	window1: recordFrameIntervals = False
172.5205 	DATA 	Keypress: left
172.5346 	EXP 	fixation: autoDraw = False
172.5346 	EXP 	grating: autoDraw = False
172.5349 	EXP 	window1: recordFrameIntervals = False
173.5086 	EXP 	fixation: autoDraw = True
174.5178 	EXP 	fixation: autoDraw = False
174.5346 	EXP 	grating: autoDraw = True
174.5346 	EXP 	grating: tex = 'sin'
174.8343 	EXP 	grating: autoDraw = False
174.9703 	EXP 	window1: recordFrameIntervals = False
174.9717 	DATA 	Keypress: right
174.9843 	EXP 	fixation: autoDraw = False
174.9843 	EXP 	grating: autoDraw = False
174.9846 	EXP 	window1: recordFrameIntervals = False
175.9593 	EXP 	fixation: autoDraw = True
176.9676 	EXP 	fixation: autoDraw = False
176.9844 	EXP 	grating: autoDraw = True
176.9844 	EXP 	grating: tex = 'sin'
177.2843 	EXP 	grating: autoDraw = False
177.4534 	EXP 	window1: recordFrameIntervals = False
177.4550 	DATA 	Keypress: left
177.4676 	EXP 	fixation: autoDraw = False
177.4676 	EXP 	grating: autoDraw = False
177.4679 	EXP 	window1: recordFrameIntervals = False
178.4428 	EXP 	fixation: autoDraw = True
179.4508 	EXP 	fixation: autoDraw = False
179.4676 	EXP 	grating: autoDraw = True
179.4676 	EXP 	grating: tex = 'sin'
179.7674 	EXP 	grating: autoDraw = False
179.9200 	EXP 	window1: recordFrameIntervals = False
179.9216 	DATA 	Keypress: right
179.9342 	EXP 	fixation: autoDraw = False
179.9342 	EXP 	grating: autoDraw = False
179.9346 	EXP 	window1: recordFrameIntervals = False
180.9090 	EXP 	fixation: autoDraw = True
181.9173 	EXP 	fixation: autoDraw = False
181.9342 	EXP 	grating: autoDraw = True
181.9342 	EXP 	grating: tex = 'sin'
182.2340 	EXP 	grating: autoDraw = False
182.3532 	EXP 	window1: recordFrameIntervals = False
182.3551 	DATA 	Keypress: left
182.3674 	EXP 	fixation: autoDraw = False
182.3674 	EXP 	grating: autoDraw = False
182.3678 	EXP 	window1: recordFrameIntervals = False
183.3422 	EXP 	fixation: autoDraw = True
184.3506 	EXP 	fixation: autoDraw = False
184.3674 	EXP 	grating: autoDraw = True
184.3674 	EXP 	grating: tex = 'sin'
184.6673 	EXP 	grating: autoDraw = False
184.7855 	EXP 	window1: recordFrameIntervals = False
184.7863 	DATA 	Keypress: right
184.8005 	EXP 	fixation: autoDraw = False
184.8005 	EXP 	grating: autoDraw = False
184.8008 	EXP 	window1: recordFrameIntervals = False
185.7757 	EXP 	fixation: autoDraw = True
186.7839 	EXP 	fixation: autoDraw = False
186.8007 	EXP 	grating: autoDraw = True
186.8007 	EXP 	grating: tex = 'sin'
187.1007 	EXP 	grating: autoDraw = False
187.1532 	EXP 	window1: recordFrameIntervals = False
187.1547 	DATA 	Keypress: left
187.1671 	EXP 	fixation: autoDraw = False
187.1671 	EXP 	grating: autoDraw = False
187.1673 	EXP 	window1: recordFrameIntervals = False
188.1434 	EXP 	fixation: autoDraw = True
189.1506 	EXP 	fixation: autoDraw = False
189.1669 	EXP 	grating: autoDraw = True
189.1669 	EXP 	grating: tex = 'sin'
189.4672 	EXP 	grating: autoDraw = False
189.5868 	EXP 	window1: recordFrameIntervals = False
189.5883 	DATA 	Keypress: left
189.6003 	EXP 	fixation: autoDraw = False
189.6003 	EXP 	grating: autoDraw = False
189.6006 	EXP 	window1: recordFrameIntervals = False
190.5767 	EXP 	fixation: autoDraw = True
191.5834 	EXP 	fixation: autoDraw = False
191.6003 	EXP 	grating: autoDraw = True
191.6003 	EXP 	grating: tex = 'sin'
191.9001 	EXP 	grating: autoDraw = False
192.1360 	EXP 	window1: recordFrameIntervals = False
192.1373 	DATA 	Keypress: left
192.1501 	EXP 	fixation: autoDraw = False
192.1501 	EXP 	grating: autoDraw = False
192.1505 	EXP 	window1: recordFrameIntervals = False
193.1241 	EXP 	fixation: autoDraw = True
194.1333 	EXP 	fixation: autoDraw = False
194.1502 	EXP 	grating: autoDraw = True
194.1502 	EXP 	grating: tex = 'sin'
194.4500 	EXP 	grating: autoDraw = False
194.5862 	EXP 	window1: recordFrameIntervals = False
194.5875 	DATA 	Keypress: right
194.6000 	EXP 	fixation: autoDraw = False
194.6000 	EXP 	grating: autoDraw = False
194.6003 	EXP 	window1: recordFrameIntervals = False
195.5763 	EXP 	fixation: autoDraw = True
196.5832 	EXP 	fixation: autoDraw = False
196.6001 	EXP 	grating: autoDraw = True
196.6001 	EXP 	grating: tex = 'sin'
196.9000 	EXP 	grating: autoDraw = False
197.0028 	EXP 	window1: recordFrameIntervals = False
197.0042 	DATA 	Keypress: left
197.0166 	EXP 	fixation: autoDraw = False
197.0166 	EXP 	grating: autoDraw = False
197.0169 	EXP 	window1: recordFrameIntervals = False
197.9932 	EXP 	fixation: autoDraw = True
198.9997 	EXP 	fixation: autoDraw = False
199.0166 	EXP 	grating: autoDraw = True
199.0166 	EXP 	grating: tex = 'sin'
199.3164 	EXP 	grating: autoDraw = False
199.4526 	EXP 	window1: recordFrameIntervals = False
199.4542 	DATA 	Keypress: right
199.4665 	EXP 	fixation: autoDraw = False
199.4665 	EXP 	grating: autoDraw = False
199.4668 	EXP 	window1: recordFrameIntervals = False
200.4441 	EXP 	fixation: autoDraw = True
201.4497 	EXP 	fixation: autoDraw = False
201.4666 	EXP 	grating: autoDraw = True
201.4666 	EXP 	grating: tex = 'sin'
201.7663 	EXP 	grating: autoDraw = False
201.8022 	EXP 	window1: recordFrameIntervals = False
201.8037 	DATA 	Keypress: left
201.8163 	EXP 	fixation: autoDraw = False
201.8163 	EXP 	grating: autoDraw = False
201.8166 	EXP 	window1: recordFrameIntervals = False
202.7908 	EXP 	fixation: autoDraw = True
203.7995 	EXP 	fixation: autoDraw = False
203.8163 	EXP 	grating: autoDraw = True
203.8163 	EXP 	grating: tex = 'sin'
204.1161 	EXP 	grating: autoDraw = False
204.2852 	EXP 	window1: recordFrameIntervals = False
204.2868 	DATA 	Keypress: left
204.2998 	EXP 	fixation: autoDraw = False
204.2998 	EXP 	grating: autoDraw = False
204.3000 	EXP 	window1: recordFrameIntervals = False
205.2742 	EXP 	fixation: autoDraw = True
206.2829 	EXP 	fixation: autoDraw = False
206.2997 	EXP 	grating: autoDraw = True
206.2997 	EXP 	grating: tex = 'sin'
206.5996 	EXP 	grating: autoDraw = False
206.7025 	EXP 	window1: recordFrameIntervals = False
206.7042 	DATA 	Keypress: left
206.7162 	EXP 	fixation: autoDraw = False
206.7162 	EXP 	grating: autoDraw = False
206.7165 	EXP 	window1: recordFrameIntervals = False
207.6918 	EXP 	fixation: autoDraw = True
208.6994 	EXP 	fixation: autoDraw = False
208.7163 	EXP 	grating: autoDraw = True
208.7163 	EXP 	grating: tex = 'sin'
209.0162 	EXP 	grating: autoDraw = False
209.0685 	EXP 	window1: recordFrameIntervals = False
209.0700 	DATA 	Keypress: left
209.0828 	EXP 	fixation: autoDraw = False
209.0828 	EXP 	grating: autoDraw = False
209.0831 	EXP 	window1: recordFrameIntervals = False
210.0573 	EXP 	fixation: autoDraw = True
211.0659 	EXP 	fixation: autoDraw = False
211.0828 	EXP 	grating: autoDraw = True
211.0828 	EXP 	grating: tex = 'sin'
211.3826 	EXP 	grating: autoDraw = False
211.4669 	EXP 	window1: recordFrameIntervals = False
211.4676 	DATA 	Keypress: right
211.4826 	EXP 	fixation: autoDraw = False
211.4826 	EXP 	grating: autoDraw = False
211.4829 	EXP 	window1: recordFrameIntervals = False
212.4565 	EXP 	fixation: autoDraw = True
213.4659 	EXP 	fixation: autoDraw = False
213.4659 	EXP 	grating: autoDraw = True
213.4659 	EXP 	grating: tex = 'sin'
213.7657 	EXP 	grating: autoDraw = False
213.9685 	EXP 	window1: recordFrameIntervals = False
213.9704 	DATA 	Keypress: right
213.9824 	EXP 	fixation: autoDraw = False
213.9824 	EXP 	grating: autoDraw = False
213.9827 	EXP 	window1: recordFrameIntervals = False
214.9578 	EXP 	fixation: autoDraw = True
215.9656 	EXP 	fixation: autoDraw = False
215.9825 	EXP 	grating: autoDraw = True
215.9825 	EXP 	grating: tex = 'sin'
216.2823 	EXP 	grating: autoDraw = False
216.4183 	DATA 	Keypress: right
216.4348 	EXP 	window1: recordFrameIntervals = False
216.4490 	EXP 	fixation: autoDraw = False
216.4490 	EXP 	grating: autoDraw = False
216.4493 	EXP 	window1: recordFrameIntervals = False
217.4240 	EXP 	fixation: autoDraw = True
218.4322 	EXP 	fixation: autoDraw = False
218.4490 	EXP 	grating: autoDraw = True
218.4490 	EXP 	grating: tex = 'sin'
218.7489 	EXP 	grating: autoDraw = False
218.8513 	EXP 	window1: recordFrameIntervals = False
218.8528 	DATA 	Keypress: left
218.8656 	EXP 	fixation: autoDraw = False
218.8656 	EXP 	grating: autoDraw = False
218.8659 	EXP 	window1: recordFrameIntervals = False
219.8404 	EXP 	fixation: autoDraw = True
220.8487 	EXP 	fixation: autoDraw = False
220.8656 	EXP 	grating: autoDraw = True
220.8656 	EXP 	grating: tex = 'sin'
221.1653 	EXP 	grating: autoDraw = False
221.2518 	EXP 	window1: recordFrameIntervals = False
221.2532 	DATA 	Keypress: left
221.2654 	EXP 	fixation: autoDraw = False
221.2654 	EXP 	grating: autoDraw = False
221.2657 	EXP 	window1: recordFrameIntervals = False
222.2407 	EXP 	fixation: autoDraw = True
223.2487 	EXP 	fixation: autoDraw = False
223.2655 	EXP 	grating: autoDraw = True
223.2655 	EXP 	grating: tex = 'sin'
223.5654 	EXP 	grating: autoDraw = False
223.6348 	EXP 	window1: recordFrameIntervals = False
223.6365 	DATA 	Keypress: left
223.6486 	EXP 	fixation: autoDraw = False
223.6486 	EXP 	grating: autoDraw = False
223.6489 	EXP 	window1: recordFrameIntervals = False
224.6246 	EXP 	fixation: autoDraw = True
225.6319 	EXP 	fixation: autoDraw = False
225.6487 	EXP 	grating: autoDraw = True
225.6487 	EXP 	grating: tex = 'sin'
225.9485 	EXP 	grating: autoDraw = False
226.1019 	EXP 	window1: recordFrameIntervals = False
226.1033 	DATA 	Keypress: right
226.1152 	EXP 	fixation: autoDraw = False
226.1152 	EXP 	grating: autoDraw = False
226.1156 	EXP 	window1: recordFrameIntervals = False
227.0922 	EXP 	fixation: autoDraw = True
228.0986 	EXP 	fixation: autoDraw = False
228.1152 	EXP 	grating: autoDraw = True
228.1152 	EXP 	grating: tex = 'sin'
228.4151 	EXP 	grating: autoDraw = False
228.5013 	EXP 	window1: recordFrameIntervals = False
228.5028 	DATA 	Keypress: left
228.5150 	EXP 	fixation: autoDraw = False
228.5150 	EXP 	grating: autoDraw = False
228.5153 	EXP 	window1: recordFrameIntervals = False
229.4912 	EXP 	fixation: autoDraw = True
230.4983 	EXP 	fixation: autoDraw = False
230.5151 	EXP 	grating: autoDraw = True
230.5151 	EXP 	grating: tex = 'sin'
230.8149 	EXP 	grating: autoDraw = False
230.9512 	EXP 	window1: recordFrameIntervals = False
230.9528 	DATA 	Keypress: left
230.9650 	EXP 	fixation: autoDraw = False
230.9650 	EXP 	grating: autoDraw = False
230.9653 	EXP 	window1: recordFrameIntervals = False
231.9408 	EXP 	fixation: autoDraw = True
232.9481 	EXP 	fixation: autoDraw = False
232.9650 	EXP 	grating: autoDraw = True
232.9650 	EXP 	grating: tex = 'sin'
233.2649 	EXP 	grating: autoDraw = False
233.3992 	EXP 	window1: recordFrameIntervals = False
233.3998 	DATA 	Keypress: right
233.4149 	EXP 	fixation: autoDraw = False
233.4149 	EXP 	grating: autoDraw = False
233.4152 	EXP 	window1: recordFrameIntervals = False
234.3890 	EXP 	fixation: autoDraw = True
235.3983 	EXP 	fixation: autoDraw = False
235.3983 	EXP 	grating: autoDraw = True
235.3983 	EXP 	grating: tex = 'sin'
235.6981 	EXP 	grating: autoDraw = False
235.8511 	EXP 	window1: recordFrameIntervals = False
235.8523 	DATA 	Keypress: right
235.8648 	EXP 	fixation: autoDraw = False
235.8648 	EXP 	grating: autoDraw = False
235.8650 	EXP 	window1: recordFrameIntervals = False
236.8397 	EXP 	fixation: autoDraw = True
237.8479 	EXP 	fixation: autoDraw = False
237.8647 	EXP 	grating: autoDraw = True
237.8647 	EXP 	grating: tex = 'sin'
238.1646 	EXP 	grating: autoDraw = False
238.4171 	DATA 	Keypress: right
238.4337 	EXP 	window1: recordFrameIntervals = False
238.4480 	EXP 	fixation: autoDraw = False
238.4480 	EXP 	grating: autoDraw = False
238.4482 	EXP 	window1: recordFrameIntervals = False
239.4217 	EXP 	fixation: autoDraw = True
240.4312 	EXP 	fixation: autoDraw = False
240.4480 	EXP 	grating: autoDraw = True
240.4480 	EXP 	grating: tex = 'sin'
240.7478 	EXP 	grating: autoDraw = False
240.8503 	EXP 	window1: recordFrameIntervals = False
240.8518 	DATA 	Keypress: right
240.8645 	EXP 	fixation: autoDraw = False
240.8645 	EXP 	grating: autoDraw = False
240.8648 	EXP 	window1: recordFrameIntervals = False
241.8399 	EXP 	fixation: autoDraw = True
242.8476 	EXP 	fixation: autoDraw = False
242.8645 	EXP 	grating: autoDraw = True
242.8645 	EXP 	grating: tex = 'sin'
243.1643 	EXP 	grating: autoDraw = False
243.3003 	EXP 	window1: recordFrameIntervals = False
243.3017 	DATA 	Keypress: left
243.3144 	EXP 	fixation: autoDraw = False
243.3144 	EXP 	grating: autoDraw = False
243.3147 	EXP 	window1: recordFrameIntervals = False
244.2890 	EXP 	fixation: autoDraw = True
245.2976 	EXP 	fixation: autoDraw = False
245.3144 	EXP 	grating: autoDraw = True
245.3144 	EXP 	grating: tex = 'sin'
245.6142 	EXP 	grating: autoDraw = False
245.6835 	EXP 	window1: recordFrameIntervals = False
245.6848 	DATA 	Keypress: right
245.6975 	EXP 	fixation: autoDraw = False
245.6975 	EXP 	grating: autoDraw = False
245.6978 	EXP 	window1: recordFrameIntervals = False
246.6740 	EXP 	fixation: autoDraw = True
247.6809 	EXP 	fixation: autoDraw = False
247.6976 	EXP 	grating: autoDraw = True
247.6976 	EXP 	grating: tex = 'sin'
247.9975 	EXP 	grating: autoDraw = False
248.0505 	DATA 	Keypress: left
248.0665 	EXP 	window1: recordFrameIntervals = False
248.0808 	EXP 	fixation: autoDraw = False
248.0808 	EXP 	grating: autoDraw = False
248.0811 	EXP 	window1: recordFrameIntervals = False
249.0556 	EXP 	fixation: autoDraw = True
250.0640 	EXP 	fixation: autoDraw = False
250.0809 	EXP 	grating: autoDraw = True
250.0809 	EXP 	grating: tex = 'sin'
250.3810 	EXP 	grating: autoDraw = False
250.5166 	EXP 	window1: recordFrameIntervals = False
250.5181 	DATA 	Keypress: left
250.5307 	EXP 	fixation: autoDraw = False
250.5307 	EXP 	grating: autoDraw = False
250.5311 	EXP 	window1: recordFrameIntervals = False
251.5060 	EXP 	fixation: autoDraw = True
252.5139 	EXP 	fixation: autoDraw = False
252.5307 	EXP 	grating: autoDraw = True
252.5307 	EXP 	grating: tex = 'sin'
252.8306 	EXP 	grating: autoDraw = False
252.9334 	DATA 	Keypress: right
252.9498 	EXP 	window1: recordFrameIntervals = False
252.9639 	EXP 	fixation: autoDraw = False
252.9639 	EXP 	grating: autoDraw = False
252.9642 	EXP 	window1: recordFrameIntervals = False
253.9381 	EXP 	fixation: autoDraw = True
254.9472 	EXP 	fixation: autoDraw = False
254.9640 	EXP 	grating: autoDraw = True
254.9640 	EXP 	grating: tex = 'sin'
255.2638 	EXP 	grating: autoDraw = False
255.4499 	EXP 	window1: recordFrameIntervals = False
255.4512 	DATA 	Keypress: right
255.4637 	EXP 	fixation: autoDraw = False
255.4637 	EXP 	grating: autoDraw = False
255.4640 	EXP 	window1: recordFrameIntervals = False
256.4388 	EXP 	fixation: autoDraw = True
257.4470 	EXP 	fixation: autoDraw = False
257.4639 	EXP 	grating: autoDraw = True
257.4639 	EXP 	grating: tex = 'sin'
257.7636 	EXP 	grating: autoDraw = False
257.8995 	DATA 	Keypress: right
257.9162 	EXP 	window1: recordFrameIntervals = False
257.9303 	EXP 	fixation: autoDraw = False
257.9303 	EXP 	grating: autoDraw = False
257.9307 	EXP 	window1: recordFrameIntervals = False
258.9050 	EXP 	fixation: autoDraw = True
259.9136 	EXP 	fixation: autoDraw = False
259.9304 	EXP 	grating: autoDraw = True
259.9304 	EXP 	grating: tex = 'sin'
260.2302 	EXP 	grating: autoDraw = False
260.3496 	EXP 	window1: recordFrameIntervals = False
260.3510 	DATA 	Keypress: right
260.3636 	EXP 	fixation: autoDraw = False
260.3636 	EXP 	grating: autoDraw = False
260.3639 	EXP 	window1: recordFrameIntervals = False
261.3395 	EXP 	fixation: autoDraw = True
262.3468 	EXP 	fixation: autoDraw = False
262.3637 	EXP 	grating: autoDraw = True
262.3637 	EXP 	grating: tex = 'sin'
262.6635 	EXP 	grating: autoDraw = False
262.7335 	EXP 	window1: recordFrameIntervals = False
262.7346 	DATA 	Keypress: right
262.7468 	EXP 	fixation: autoDraw = False
262.7468 	EXP 	grating: autoDraw = False
262.7471 	EXP 	window1: recordFrameIntervals = False
263.7234 	EXP 	fixation: autoDraw = True
264.7300 	EXP 	fixation: autoDraw = False
264.7469 	EXP 	grating: autoDraw = True
264.7469 	EXP 	grating: tex = 'sin'
265.0467 	EXP 	grating: autoDraw = False
265.2326 	DATA 	Keypress: left
265.2469 	EXP 	fixation: autoDraw = False
265.2469 	EXP 	grating: autoDraw = False
265.4073 	EXP 	window1: mouseVisible = True
